Data, Produzida, Consumida Rede, Autoconsumida, Excedente, Autoconsumida Vazio, Autoconsumida Ponta, Autoconsumida Cheia, Autoconsumida S. Vazio, Excedente, Produzida, Autoconsumida, Específica, CO2 Evitado, 
2021-11-10 01:00, 0, 291, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-11-10 02:00, 0, 268, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-11-10 03:00, 0, 248.75, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-11-10 04:00, 0, 246.25, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-11-10 05:00, 0, 243.5, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-11-10 06:00, 0, 245.75, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-11-10 07:00, 0, 274.25, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-11-10 08:00, 2.75, 304.5, 2.75, 0, 0, 0, 0, 0, , 0, 0, 0.01, 0, 
2021-11-10 09:00, 30.5, 348.5, 30.5, 0, 0, 0, 0, 0, , 0, 0, 0.07, 0.01, 
2021-11-10 10:00, 95.25, 341.5, 95.25, 0, 0, 0, 0, 0, , 0, 0, 0.23, 0.04, 
2021-11-10 11:00, 162.25, 309, 162.25, 0, 0, 0, 0, 0, , 0, 0, 0.38, 0.08, 
2021-11-10 12:00, 204.25, 264.25, 204.25, 0, 0, 0, 0, 0, , 0, 0, 0.48, 0.1, 
2021-11-10 13:00, 224.5, 241.75, 224.5, 0, 0, 0, 0, 0, , 0, 0, 0.53, 0.11, 
2021-11-10 14:00, 215.25, 259, 215.25, 0, 0, 0, 0, 0, , 0, 0, 0.51, 0.1, 
2021-11-10 15:00, 171.5, 305, 171.5, 0, 0, 0, 0, 0, , 0, 0, 0.41, 0.08, 
2021-11-10 16:00, 104.75, 383.25, 104.75, 0, 0, 0, 0, 0, , 0, 0, 0.25, 0.05, 
2021-11-10 17:00, 38.25, 437.5, 38.25, 0, 0, 0, 0, 0, , 0, 0, 0.09, 0.02, 
