Data, Produzida, Consumida Rede, Autoconsumida, Excedente, Autoconsumida Vazio, Autoconsumida Ponta, Autoconsumida Cheia, Autoconsumida S. Vazio, Excedente, Produzida, Autoconsumida, Específica, CO2 Evitado, 
2021-02-01 01:00, 0, 15, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-01 02:00, 0, 14.75, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-01 03:00, 0, 15.5, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-01 04:00, 0, 16, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-01 05:00, 0, 16, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-01 06:00, 0, 15.75, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-01 07:00, 0, 21.75, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-01 08:00, 0, 44.5, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-01 09:00, 2.75, 47.75, 2.75, 0, 0, 0, 0, 0, , 0, 0, 0.02, 0, 
2021-02-01 10:00, 7.25, 50.75, 7.25, 0, 0, 0, 0, 0, , 0, 0, 0.05, 0, 
2021-02-01 11:00, 16.25, 47, 16.25, 0, 0, 0, 0, 0, , 0, 0, 0.12, 0.01, 
2021-02-01 12:00, 30.75, 33.5, 30.75, 0, 0, 0, 0, 0, , 0, 0, 0.23, 0.01, 
2021-02-01 13:00, 24.75, 39.75, 24.75, 0, 0, 0, 0, 0, , 0, 0, 0.19, 0.01, 
2021-02-01 14:00, 31.75, 33, 31.75, 0, 0, 0, 0, 0, , 0, 0, 0.24, 0.01, 
2021-02-01 15:00, 20, 44.75, 20, 0, 0, 0, 0, 0, , 0, 0, 0.15, 0.01, 
2021-02-01 16:00, 12, 52.75, 12, 0, 0, 0, 0, 0, , 0, 0, 0.09, 0.01, 
2021-02-01 17:00, 7.25, 57.25, 7.25, 0, 0, 0, 0, 0, , 0, 0, 0.05, 0, 
2021-02-01 18:00, 1.5, 62, 1.5, 0, 0, 0, 0, 0, , 0, 0, 0.01, 0, 
2021-02-01 19:00, 0, 40, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-01 20:00, 0, 30.25, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-01 21:00, 0, 28.75, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-01 22:00, 0, 27.25, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-01 23:00, 0, 23.25, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-02 00:00, 0, 16, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-02 01:00, 0, 15.5, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-02 02:00, 0, 15.25, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-02 03:00, 0, 15.5, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-02 04:00, 0, 15.75, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-02 05:00, 0, 17, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-02 06:00, 0, 17.75, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-02 07:00, 0, 24.75, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-02 08:00, 0.25, 43.25, 0.25, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 
2021-02-02 09:00, 3.75, 42, 3.75, 0, 0, 0, 0, 0, , 0, 0, 0.03, 0, 
2021-02-02 10:00, 13.75, 42, 13.75, 0, 0, 0, 0, 0, , 0, 0, 0.1, 0.01, 
2021-02-02 11:00, 30.5, 31, 30.5, 0, 0, 0, 0, 0, , 0, 0, 0.23, 0.01, 
2021-02-02 12:00, 37.75, 24.25, 37.75, 0, 0, 0, 0, 0, , 0, 0, 0.28, 0.02, 
2021-02-02 13:00, 35, 26, 35, 0, 0, 0, 0, 0, , 0, 0, 0.26, 0.02, 
2021-02-02 14:00, 30, 31.25, 30, 0, 0, 0, 0, 0, , 0, 0, 0.23, 0.01, 
2021-02-02 15:00, 28.75, 29, 28.75, 0, 0, 0, 0, 0, , 0, 0, 0.22, 0.01, 
2021-02-02 16:00, 12.5, 44.5, 12.5, 0, 0, 0, 0, 0, , 0, 0, 0.09, 0.01, 
2021-02-02 17:00, 7.75, 48.5, 7.75, 0, 0, 0, 0, 0, , 0, 0, 0.06, 0, 
2021-02-02 18:00, 1.75, 53.5, 1.75, 0, 0, 0, 0, 0, , 0, 0, 0.01, 0, 
2021-02-02 19:00, 0, 33.25, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-02 20:00, 0, 29, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-02 21:00, 0, 30.25, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-02 22:00, 0, 27, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-02 23:00, 0, 22, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-03 00:00, 0, 15.75, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-03 01:00, 0, 16.75, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-03 02:00, 0, 17, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-03 03:00, 0, 15.5, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-03 04:00, 0, 15.25, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-03 05:00, 0, 14.75, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-03 06:00, 0, 15.5, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-03 07:00, 0, 24.25, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-03 08:00, 0, 43.5, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-03 09:00, 3.25, 44, 3.25, 0, 0, 0, 0, 0, , 0, 0, 0.02, 0, 
2021-02-03 10:00, 12, 46.75, 12, 0, 0, 0, 0, 0, , 0, 0, 0.09, 0.01, 
2021-02-03 11:00, 20, 39.5, 20, 0, 0, 0, 0, 0, , 0, 0, 0.15, 0.01, 
2021-02-03 12:00, 36.5, 31.25, 36.5, 0, 0, 0, 0, 0, , 0, 0, 0.28, 0.02, 
2021-02-03 13:00, 38.75, 24.5, 38.75, 0, 0, 0, 0, 0, , 0, 0, 0.29, 0.02, 
2021-02-03 14:00, 69.75, 3.5, 69.75, 0, 0, 0, 0, 0, , 0, 0, 0.53, 0.03, 
2021-02-03 15:00, 82.5, 0.25, 82.5, 0, 0, 0, 0, 0, , 0, 0, 0.62, 0.04, 
2021-02-03 16:00, 28.75, 31.5, 28.75, 0, 0, 0, 0, 0, , 0, 0, 0.22, 0.01, 
2021-02-03 17:00, 22.25, 38, 22.25, 0, 0, 0, 0, 0, , 0, 0, 0.17, 0.01, 
2021-02-03 18:00, 4.75, 49.25, 4.75, 0, 0, 0, 0, 0, , 0, 0, 0.04, 0, 
2021-02-03 19:00, 0, 34.75, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-03 20:00, 0, 32, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
2021-02-03 21:00, 0, 30.5, 0, 0, 0, 0, 0, 0, , 0, 0, 0, , 
